Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust;Word
 anger;; disgust; fear;; sadness; surprise;;affront
 anger;; disgust; fear;; sadness;; trust;fugitive
 anger;; disgust; fear;; sadness;; trust;devastating
 anger;; disgust; fear;; sadness;;;wrangling
 anger;; disgust; fear;; sadness;;;wince
 anger;; disgust; fear;; sadness;;;wimpy
 anger;; disgust; fear;; sadness;;;violently
 anger;; disgust; fear;; sadness;;;unlucky
 anger;; disgust; fear;; sadness;;;unlawful
 anger;; disgust; fear;; sadness;;;unkind
 anger;; disgust; fear;; sadness;;;unfriendly
 anger;; disgust; fear;; sadness;;;unequal
 anger;; disgust; fear;; sadness;;;undesirable
 anger;; disgust; fear;; sadness;;;ulcer
 anger;; disgust; fear;; sadness;;;tyrant
 anger;; disgust; fear;; sadness;;;traitor
 anger;; disgust; fear;; sadness;;;thrash
 anger;; disgust; fear;; sadness;;;theft
 anger;; disgust; fear;; sadness;;;terrorism
 anger;; disgust; fear;; sadness;;;terrible
 anger;; disgust; fear;; sadness;;;suicidal
 anger;; disgust; fear;; sadness;;;subjugation
 anger;; disgust; fear;; sadness;;;stingy
 anger;; disgust; fear;; sadness;;;stigma
 anger;; disgust; fear;; sadness;;;sordid
 anger;; disgust; fear;; sadness;;;socialist
 anger;; disgust; fear;; sadness;;;slavery
 anger;; disgust; fear;; sadness;;;slaughterhouse
 anger;; disgust; fear;; sadness;;;sinner
 anger;; disgust; fear;; sadness;;;sinful
 anger;; disgust; fear;; sadness;;;sin
 anger;; disgust; fear;; sadness;;;sickening
 anger;; disgust; fear;; sadness;;;scold
 anger;; disgust; fear;; sadness;;;schizophrenia
 anger;; disgust; fear;; sadness;;;scar
 anger;; disgust; fear;; sadness;;;ruinous
 anger;; disgust; fear;; sadness;;;ruined
 anger;; disgust; fear;; sadness;;;robbery
 anger;; disgust; fear;; sadness;;;rob
 anger;; disgust; fear;; sadness;;;revoke
 anger;; disgust; fear;; sadness;;;resign
 anger;; disgust; fear;; sadness;;;rejection
 anger;; disgust; fear;; sadness;;;recession
 anger;; disgust; fear;; sadness;;;rape
 anger;; disgust; fear;; sadness;;;prisoner
 anger;; disgust; fear;; sadness;;;powerless
 anger;; disgust; fear;; sadness;;;poverty
 anger;; disgust; fear;; sadness;;;poisonous
 anger;; disgust; fear;; sadness;;;poisoned
 anger;; disgust; fear;; sadness;;;poison
 anger;; disgust; fear;; sadness;;;poaching
 anger;; disgust; fear;; sadness;;;persecution
 anger;; disgust; fear;; sadness;;;perpetrator
 anger;; disgust; fear;; sadness;;;perdition
 anger;; disgust; fear;; sadness;;;painful
 anger;; disgust; fear;; sadness;;;oppressive
 anger;; disgust; fear;; sadness;;;oppression
 anger;; disgust; fear;; sadness;;;oppress
 anger;; disgust; fear;; sadness;;;opium
 anger;; disgust; fear;; sadness;;;offense
 anger;; disgust; fear;; sadness;;;offender
 anger;; disgust; fear;; sadness;;;nasty
 anger;; disgust; fear;; sadness;;;mutilation
 anger;; disgust; fear;; sadness;;;murderer
 anger;; disgust; fear;; sadness;;;morbidity
 anger;; disgust; fear;; sadness;;;molestation
 anger;; disgust; fear;; sadness;;;misery
 anger;; disgust; fear;; sadness;;;massacre
 anger;; disgust; fear;; sadness;;;mangle
 anger;; disgust; fear;; sadness;;;malicious
 anger;; disgust; fear;; sadness;;;malevolent
 anger;; disgust; fear;; sadness;;;mad
 anger;; disgust; fear;; sadness;;;lynch
 anger;; disgust; fear;; sadness;;;lunacy
 anger;; disgust; fear;; sadness;;;lonely
 anger;; disgust; fear;; sadness;;;jealousy
 anger;; disgust; fear;; sadness;;;intolerant
 anger;; disgust; fear;; sadness;;;insulting
 anger;; disgust; fear;; sadness;;;insanity
 anger;; disgust; fear;; sadness;;;inhuman
 anger;; disgust; fear;; sadness;;;infidelity
 anger;; disgust; fear;; sadness;;;indifference
 anger;; disgust; fear;; sadness;;;incurable
 anger;; disgust; fear;; sadness;;;incest
 anger;; disgust; fear;; sadness;;;incase
 anger;; disgust; fear;; sadness;;;incarceration
 anger;; disgust; fear;; sadness;;;imprisonment
 anger;; disgust; fear;; sadness;;;imprisoned
 anger;; disgust; fear;; sadness;;;immoral
 anger;; disgust; fear;; sadness;;;illegal
 anger;; disgust; fear;; sadness;;;ill
 anger;; disgust; fear;; sadness;;;hurtful
 anger;; disgust; fear;; sadness;;;horrific
 anger;; disgust; fear;; sadness;;;horrid
 anger;; disgust; fear;; sadness;;;hopelessness
 anger;; disgust; fear;; sadness;;;homicide
 anger;; disgust; fear;; sadness;;;holocaust
 anger;; disgust; fear;; sadness;;;hellish
 anger;; disgust; fear;; sadness;;;hell
 anger;; disgust; fear;; sadness;;;hatred
 anger;; disgust; fear;; sadness;;;hateful
 anger;; disgust; fear;; sadness;;;hate
 anger;; disgust; fear;; sadness;;;harmful
 anger;; disgust; fear;; sadness;;;hanging
 anger;; disgust; fear;; sadness;;;gory
 anger;; disgust; fear;; sadness;;;gore
 anger;; disgust; fear;; sadness;;;gonorrhea
 anger;; disgust; fear;; sadness;;;flog
 anger;; disgust; fear;; sadness;;;expulsion
 anger;; disgust; fear;; sadness;;;expel
 anger;; disgust; fear;; sadness;;;evil
 anger;; disgust; fear;; sadness;;;eviction
 anger;; disgust; fear;; sadness;;;entangled
 anger;; disgust; fear;; sadness;;;enslaved
 anger;; disgust; fear;; sadness;;;elimination
 anger;; disgust; fear;; sadness;;;dying
 anger;; disgust; fear;; sadness;;;duress
 anger;; disgust; fear;; sadness;;;disrespectful
 anger;; disgust; fear;; sadness;;;displeased
 anger;; disgust; fear;; sadness;;;dislocated
 anger;; disgust; fear;; sadness;;;dishonor
 anger;; disgust; fear;; sadness;;;disgust
 anger;; disgust; fear;; sadness;;;disfigured
 anger;; disgust; fear;; sadness;;;disease
 anger;; disgust; fear;; sadness;;;discrimination
 anger;; disgust; fear;; sadness;;;discontent
 anger;; disgust; fear;; sadness;;;disapprove
 anger;; disgust; fear;; sadness;;;disallowed
 anger;; disgust; fear;; sadness;;;deterioration
 anger;; disgust; fear;; sadness;;;despotism
 anger;; disgust; fear;; sadness;;;despair
 anger;; disgust; fear;; sadness;;;deserted
 anger;; disgust; fear;; sadness;;;desert
 anger;; disgust; fear;; sadness;;;desecration
 anger;; disgust; fear;; sadness;;;derogatory
 anger;; disgust; fear;; sadness;;;derogation
 anger;; disgust; fear;; sadness;;;deprivation
 anger;; disgust; fear;; sadness;;;depreciated
 anger;; disgust; fear;; sadness;;;deplorable
 anger;; disgust; fear;; sadness;;;demonic
 anger;; disgust; fear;; sadness;;;demon
 anger;; disgust; fear;; sadness;;;delay
 anger;; disgust; fear;; sadness;;;deadly
 anger;; disgust; fear;; sadness;;;cutting
 anger;; disgust; fear;; sadness;;;curse
 anger;; disgust; fear;; sadness;;;crushed
 anger;; disgust; fear;; sadness;;;cruelty
 anger;; disgust; fear;; sadness;;;cruel
 anger;; disgust; fear;; sadness;;;crucifixion
 anger;; disgust; fear;; sadness;;;criticize
 anger;; disgust; fear;; sadness;;;corrupting
 anger;; disgust; fear;; sadness;;;convict
 anger;; disgust; fear;; sadness;;;confined
 anger;; disgust; fear;; sadness;;;collusion
 anger;; disgust; fear;; sadness;;;coldness
 anger;; disgust; fear;; sadness;;;coercion
 anger;; disgust; fear;; sadness;;;cancer
 anger;; disgust; fear;; sadness;;;burke
 anger;; disgust; fear;; sadness;;;bloody
 anger;; disgust; fear;; sadness;;;blemish
 anger;; disgust; fear;; sadness;;;bitch
 anger;; disgust; fear;; sadness;;;bigoted
 anger;; disgust; fear;; sadness;;;belittle
 anger;; disgust; fear;; sadness;;;banshee
 anger;; disgust; fear;; sadness;;;bankruptcy
 anger;; disgust; fear;; sadness;;;banish
 anger;; disgust; fear;; sadness;;;bad
 anger;; disgust; fear;; sadness;;;awful
 anger;; disgust; fear;; sadness;;;atrocity
 anger;; disgust; fear;; sadness;;;antisocial
 anger;; disgust; fear;; sadness;;;animosity
 anger;; disgust; fear;; sadness;;;anathema
 anger;; disgust; fear;; sadness;;;alienation
 anger;; disgust; fear;; sadness;;;alcoholism
 anger;; disgust; fear;; sadness;;;aftermath
 anger;; disgust; fear;; sadness;;;adverse
 anger;; disgust; fear;; sadness;;;adder
 anger;; disgust; fear;; sadness;;;abuse
 anger;; disgust; fear;;; surprise;;violent
 anger;; disgust; fear;;; surprise;;uncertain
 anger;; disgust; fear;;; surprise;;treason
 anger;; disgust; fear;;; surprise;;scream
 anger;; disgust; fear;;; surprise;;scorpion
 anger;; disgust; fear;;; surprise;;recklessness
 anger;; disgust; fear;;; surprise;;prick
 anger;; disgust; fear;;; surprise;;mutiny
 anger;; disgust; fear;;; surprise;;monstrosity
 anger;; disgust; fear;;; surprise;;intrusive
 anger;; disgust; fear;;;; trust;scoundrel
 anger;; disgust; fear;;;; trust;censor
 anger;; disgust; fear;;;;;witch
 anger;; disgust; fear;;;;;villainous
 anger;; disgust; fear;;;;;vermin
 anger;; disgust; fear;;;;;venomous
 anger;; disgust; fear;;;;;venom
 anger;; disgust; fear;;;;;vampire
 anger;; disgust; fear;;;;;unthinkable
 anger;; disgust; fear;;;;;unsettled
 anger;; disgust; fear;;;;;unruly
 anger;; disgust; fear;;;;;unjustifiable
 anger;; disgust; fear;;;;;tyrannical
 anger;; disgust; fear;;;;;treacherous
 anger;; disgust; fear;;;;;thug
 anger;; disgust; fear;;;;;threatening
 anger;; disgust; fear;;;;;suppression
 anger;; disgust; fear;;;;;smuggler
 anger;; disgust; fear;;;;;sly
 anger;; disgust; fear;;;;;sinister
 anger;; disgust; fear;;;;;screaming
 anger;; disgust; fear;;;;;ruthless
 anger;; disgust; fear;;;;;revulsion
 anger;; disgust; fear;;;;;revolting
 anger;; disgust; fear;;;;;repellent
 anger;; disgust; fear;;;;;rebellion
 anger;; disgust; fear;;;;;rascal
 anger;; disgust; fear;;;;;raging
 anger;; disgust; fear;;;;;punishment
 anger;; disgust; fear;;;;;prohibited
 anger;; disgust; fear;;;;;possession
 anger;; disgust; fear;;;;;possessed
 anger;; disgust; fear;;;;;pillage
 anger;; disgust; fear;;;;;pest
 anger;; disgust; fear;;;;;perverse
 anger;; disgust; fear;;;;;orc
 anger;; disgust; fear;;;;;odious
 anger;; disgust; fear;;;;;notoriety
 anger;; disgust; fear;;;;;misconception
 anger;; disgust; fear;;;;;masochism
 anger;; disgust; fear;;;;;lunatic
 anger;; disgust; fear;;;;;lawyer
 anger;; disgust; fear;;;;;intolerance
 anger;; disgust; fear;;;;;instinctive
 anger;; disgust; fear;;;;;insidious
 anger;; disgust; fear;;;;;infidel
 anger;; disgust; fear;;;;;infamous
 anger;; disgust; fear;;;;;illicit
 anger;; disgust; fear;;;;;illegality
 anger;; disgust; fear;;;;;hostile
 anger;; disgust; fear;;;;;horrible
 anger;; disgust; fear;;;;;hood
 anger;; disgust; fear;;;;;hardened
 anger;; disgust; fear;;;;;growling
 anger;; disgust; fear;;;;;grope
 anger;; disgust; fear;;;;;gnome
 anger;; disgust; fear;;;;;gent
 anger;; disgust; fear;;;;;foul
 anger;; disgust; fear;;;;;fierce
 anger;; disgust; fear;;;;;fiend
 anger;; disgust; fear;;;;;ferocious
 anger;; disgust; fear;;;;;evade
